RestaurantName,Latitude,Longitude,FoodItem,MenuTypeIndex,MenuType,DishTypeIndex,DishType,AddOn,Description,Dairy,Milk,Eggs,ShellFish,Fish,TreeNuts,Peanuts,Wheat,Soybeans,Sesame,Vegan,Vegetarian,GlutenFree,Pescatarian,NOTE:
DIG Inn,,,Classic Brown RIce ,1,Regular,1,Bases,,"Brown rice (brown rice, water, sea salt, bay leaf), thyme oil (Sunflower Oil, thyme), apple cider, vinegar, lime juice, Maldon sea salt, parsley",N,,N,N,N,N,N,N,N,N,Y,Y,Y,Y,
DIG Inn,,,Farm Greens with Mint,1,Regular,1,Bases,,"Romaine lettuce, mesclun, mint",N,,N,N,N,N,N,N,N,N,Y,Y,Y,Y,
DIG Inn,,,Herb Farro,1,Regular,1,Bases,,"Farro (farro, water, sea salt, bay leaf, dried oregano, rosemary, basil), gremolata (rosemary, marjoram, parsley, garlic, sea salt, canola oil, extra virgin olive oil), celery, parsley, lemon juice, black pepper ",N,N,N,N,N,N,N,Y,N,N,Y,Y,N,Y,
DIG Inn,,,Herb Rice,1,Regular,1,Bases,,"Brown rice (brown rice, water, sea salt, bay leaf), cilantro puree (cilantro, parsley, garlic oil [sunflower oil, garlic]), sea salt ",N,N,N,N,N,N,N,N,N,N,Y,,,,
DIG Inn,,,Charred Chicken,1,Regular,2,Proteins,,"Skinless chicken thigh, charred chicken marinade (extra virgin olive oil, yellow onion, lemon, sea salt, water, smoked sweet paprika, coriander, onion powder, mustard seed, fennel seed) ",N,,N,N,N,N,N,N,N,N,N,N,Y,N,
DIG Inn,,,Crispy Tofu,1,Regular,2,Proteins,,"Tofu (corn starch, coriander, crushed red pepper, sea salt, smoked paprika,  dried oregano), canola oil ",N,,N,N,N,N,N,N,Y,N,Y,Y,Y,Y,
DIG Inn,,,Herb Roasted Skinless Chicken,1,Regular,2,Proteins,,"Chicken breast, Herb Marinade (canola oil, garlic, parsley, rosemary, oregano, thyme, coriander, paprika, sea salt) ",N,,N,N,N,N,N,N,N,N,N,N,Y,N,
DIG Inn,,,Meatballs with tomato ragu,1,Regular,2,Proteins,,"Meatballs (beef, chicken, whole grain oats, tomato, citric acid, white onion, Green Lentils, celery seed, parsley, egg, carrot, sea salt, garlic, fennel, black pepper), Spicy Tomato Ragu (crushed tomatoes, sea salt, sugar, chili flake, black pepper, garlic oil [sunflower oil, garlic])",N,,Y,N,N,N,N,N,N,N,N,N,Y,N,
DIG Inn,,,seared wild salmon,1,Regular,2,Proteins,,"Wild Alaskan salmon, seasoning blend (sea salt, black pepper, paprika, dried oregano, garlic powder, mustard powder, granulated sugar), canola oil ",N,,N,N,Y,N,N,N,N,N,N,N,Y,Y,
DIG Inn,,,hot honey chicken,1,Regular,2,Proteins,,"CHARRED CHICKEN (skinless chicken thigh, charred chicken marinade [extra virgin olive oil, yellow onion, lemon, sea salt, water, smoked sweet paprika, coriander, onion powder, mustard seed, fennel seed]), Maple Honey Sriracha (Sriracha [canola oil, Fresno pepper, sea salt, agave nectar, tomato paste, apple cider vinegar, garlic, water], maple syrup, honey) ",N,,N,N,N,N,N,N,N,N,N,N,Y,N,
