PlaceID,RestaurantName,Latitude,Longitude,Area,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,AddressLine1,AddressLine2,City,State,Zipcode,GoogleMapsLink,AppleMapsLink,RestaurantWebsite,Instagram,Rating,Image,Cuisine,UberEats,GrubHub,DoorDash,RestaurantOrderLink,Source,LastUpdated
ChIJsZ78J5lZwokRDr-qC9eQpFc,Cava,"40.7338017507348, -73.98961107404331",,Union Square,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,143 4th Ave,,New York,NY,10003,"https://www.google.com/maps/place/CAVA/@40.7313076,-74.0251652,14.17z/data=!3m1!5s0x89c25998d7914c0f:0xc55db5ee6f6a5d9e!4m10!1m2!2m1!1scava!3m6!1s0x89c2599927fc9eb1:0x57a490d70baabf0e!8m2!3d40.7337898!4d-73.9896079!15sCgRjYXZhIgOIAQFaBiIEY2F2YZIBGG1lZGl0ZXJyYW5lYW5fcmVzdGF1cmFudKoBNhABKggiBGNhdmEoADIeEAEiGvF2USJTMfhuyuvNsyhbFQWfJkvQwA7yskezMggQAiIEY2F2YeABAA!16s%2Fg%2F11crzwkhhj?entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D",,https://cava.com/,https://www.instagram.com/cava/,,,Mediterranean,,,https://www.doordash.com/store/cava-new-york-1754889/73494155/,https://cava.com/locations/union-square-ny,https://assets.ctfassets.net/kugm9fp9ib18/6VE4URgnIyBfLHrb0Wbkgs/d88eb38aebea2b23b42c6f0715dfe353/NutritionandAllergenGuide_250905.pdf,September 2025
ChIJn0bYJdFZwokRCn3TA1gODic,Cava,"40.77980301387981, -73.95331773676456",,Upper East Side,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,1535 3rd Ave,,New York,NY,10028,"https://www.google.com/maps/place/CAVA/@40.7675861,-73.998415,13.91z/data=!4m10!1m2!2m1!1scava!3m6!1s0x89c259d125d8469f:0x270e0e5803d37d0a!8m2!3d40.779212!4d-73.953293!15sCgRjYXZhIgOIAQFaBiIEY2F2YZIBGG1lZGl0ZXJyYW5lYW5fcmVzdGF1cmFudKoBNhABKggiBGNhdmEoADIeEAEiGvF2USJTMfhuyuvNsyhbFQWfJkvQwA7yskezMggQAiIEY2F2YeABAA!16s%2Fg%2F11m601w42b?entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D",,https://cava.com/,https://www.instagram.com/cava/,,,Mediterranean,https://www.ubereats.com/store/cava-upper-east-side/oZlP-7sAVByeMrQofzZxBQ,,https://www.doordash.com/store/cava-new-york-31807231/60767146/,https://cava.com/locations/Upper-East-Side-NY,https://assets.ctfassets.net/kugm9fp9ib18/6VE4URgnIyBfLHrb0Wbkgs/d88eb38aebea2b23b42c6f0715dfe353/NutritionandAllergenGuide_250905.pdf,September 2025
ChIJW_t7BaRZwokRyrTzAb7rudo,Cava,"40.7542772608637, -73.98186073854602",,Bryant Park,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,11 W 42nd St,,New York,NY,10036,"https://www.google.com/maps/place/CAVA/@40.7541472,-74.0001427,15z/data=!3m1!5s0x89c25901c1b5237f:0xb831b356f493c5ea!4m10!1m2!2m1!1scava!3m6!1s0x89c259a4057bfb5b:0xdab9ebbe01f3b4ca!8m2!3d40.7541476!4d-73.9818586!15sCgRjYXZhIgOIAQFaBiIEY2F2YZIBGG1lZGl0ZXJyYW5lYW5fcmVzdGF1cmFudKoBNhABKggiBGNhdmEoADIeEAEiGvF2USJTMfhuyuvNsyhbFQWfJkvQwA7yskezMggQAiIEY2F2YeABAA!16s%2Fg%2F11gmf1tlnb?entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D",,https://cava.com/,https://www.instagram.com/cava/,,,Mediterranean,https://www.ubereats.com/store/cava-11-w-42nd-ave/KwhOLayjXiaYu184Ok5nfA,,https://www.doordash.com/store/cava-new-york-1753626/73532546/,https://cava.com/locations/bryant-park-ny,https://assets.ctfassets.net/kugm9fp9ib18/6VE4URgnIyBfLHrb0Wbkgs/d88eb38aebea2b23b42c6f0715dfe353/NutritionandAllergenGuide_250905.pdf,September 2025
ChIJWxRsUtZZwokRGk7CVNzOAIY,Cava,"40.75239170806103, -73.97362099285543",,Midtown East,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,708 3rd Ave,,New York,NY,10017,"https://www.google.com/maps/place/CAVA/@40.7541472,-74.0001427,15z/data=!4m10!1m2!2m1!1scava!3m6!1s0x89c259d6526c145b:0x8600cedc54c24e1a!8m2!3d40.752233!4d-73.9736174!15sCgRjYXZhIgOIAQFaBiIEY2F2YZIBGG1lZGl0ZXJyYW5lYW5fcmVzdGF1cmFudKoBNhABKggiBGNhdmEoADIeEAEiGvF2USJTMfhuyuvNsyhbFQWfJkvQwA7yskezMggQAiIEY2F2YeABAA!16s%2Fg%2F11tmzcsfqn?entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D",,https://cava.com/,https://www.instagram.com/cava/,,,Mediterranean,https://www.ubereats.com/store/cava-708-3rd-ave/1GVa8ROLXMmrhrvKv0WWBA,,https://www.doordash.com/store/cava-new-york-24058177/73523753/,https://cava.com/locations/708-3rd-ave-ny,https://assets.ctfassets.net/kugm9fp9ib18/6VE4URgnIyBfLHrb0Wbkgs/d88eb38aebea2b23b42c6f0715dfe353/NutritionandAllergenGuide_250905.pdf,September 2025
ChIJ8XrcxbtZwokRAQuQ4xXGtWY,Cava,"40.752911865899314, -73.98765430973474",,Garmet District,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,1385 Broadway,,New York,NY,10018,"https://www.google.com/maps/place/CAVA/@40.7541472,-74.0001427,15z/data=!3m1!5s0x89c25bb04c1950ef:0xa35d3256a3de71f1!4m10!1m2!2m1!1scava!3m6!1s0x89c259bbc5dc7af1:0x66b5c615e3900b01!8m2!3d40.7528718!4d-73.9876742!15sCgRjYXZhIgOIAQFaBiIEY2F2YZIBGG1lZGl0ZXJyYW5lYW5fcmVzdGF1cmFudKoBNhABKggiBGNhdmEoADIeEAEiGvF2USJTMfhuyuvNsyhbFQWfJkvQwA7yskezMggQAiIEY2F2YeABAA!16s%2Fg%2F11glfvjhf9?entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D",,https://cava.com/,https://www.instagram.com/cava/,,,Mediterranean,,,https://www.doordash.com/store/cava-new-york-1752302/73530748/,https://cava.com/locations/38th-and-broadway-ny,https://assets.ctfassets.net/kugm9fp9ib18/6VE4URgnIyBfLHrb0Wbkgs/d88eb38aebea2b23b42c6f0715dfe353/NutritionandAllergenGuide_250905.pdf,September 2025
ChIJOy-1wl5ZwokRwwPX7mgPAtM,Cava,"40.751481422052294, -73.98048744759758",,Midtown,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,280 Madison Ave,,New York,NY,10016,"https://www.google.com/maps/place/CAVA/@40.7541472,-74.0001427,15z/data=!3m1!5s0x8907ea61661e4bcf:0x6fc5b8a20b4f1f8!4m10!1m2!2m1!1scava!3m6!1s0x89c2595ec2b52f3b:0xd3020f68eed703c3!8m2!3d40.7514214!4d-73.9805145!15sCgRjYXZhIgOIAQFaBiIEY2F2YZIBGG1lZGl0ZXJyYW5lYW5fcmVzdGF1cmFudKoBNhABKggiBGNhdmEoADIeEAEiGvF2USJTMfhuyuvNsyhbFQWfJkvQwA7yskezMggQAiIEY2F2YeABAA!16s%2Fg%2F11hdpnyc3v?entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D",,https://cava.com/,https://www.instagram.com/cava/,,,Mediterranean,https://www.ubereats.com/store/cava-40th-and-madison/Zp4p9fgTUCSLcFpxWwHAOA,,https://www.doordash.com/store/cava-new-york-1753599/73521749/,https://cava.com/locations/40th-and-madison-ny,https://assets.ctfassets.net/kugm9fp9ib18/6VE4URgnIyBfLHrb0Wbkgs/d88eb38aebea2b23b42c6f0715dfe353/NutritionandAllergenGuide_250905.pdf,September 2025
ChIJofhOzbxZwokRQf1ixFGebYE,Cava,"40.74703567717802, -73.9933678272858",,Chelsea,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,307 7th Ave,,New York,NY,10001,"https://www.google.com/maps/place/CAVA/@40.7405501,-74.0121394,14.49z/data=!3m1!5s0x89c259a8a1ebb09d:0x5ffa0f5826a63277!4m10!1m2!2m1!1scava!3m6!1s0x89c259bccd4ef8a1:0x816d9e51c462fd41!8m2!3d40.7468492!4d-73.9934124!15sCgRjYXZhIgOIAQFaBiIEY2F2YZIBGG1lZGl0ZXJyYW5lYW5fcmVzdGF1cmFudKoBNhABKggiBGNhdmEoADIeEAEiGvF2USJTMfhuyuvNsyhbFQWfJkvQwA7yskezMggQAiIEY2F2YeABAA!16s%2Fg%2F11sc1ny_93?entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D",,https://cava.com/,https://www.instagram.com/cava/,,,Mediterranean,https://www.ubereats.com/store/cava-307-7th-ave/Dg_vuStHUeqjljpP4THUGw,,https://www.doordash.com/store/cava-new-york-23884014/23200355/,https://cava.com/locations/307-7th-ave-ny,https://assets.ctfassets.net/kugm9fp9ib18/6VE4URgnIyBfLHrb0Wbkgs/d88eb38aebea2b23b42c6f0715dfe353/NutritionandAllergenGuide_250905.pdf,September 2025
ChIJ2d8VLKdZwokRuFhVXsVySjU,Cava,"40.74093601434857, -73.98537018019955",,Flatiron District,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,325 Park Ave S,,New York,NY,10010,"https://www.google.com/maps/place/CAVA/@40.7313076,-74.0251652,14.17z/data=!4m10!1m2!2m1!1scava!3m6!1s0x89c259a72c15dfd9:0x354a72c55e5558b8!8m2!3d40.7408754!4d-73.9854856!15sCgRjYXZhIgOIAQFaBiIEY2F2YZIBGG1lZGl0ZXJyYW5lYW5fcmVzdGF1cmFudKoBNhABKggiBGNhdmEoADIeEAEiGvF2USJTMfhuyuvNsyhbFQWfJkvQwA7yskezMggQAiIEY2F2YeABAA!16s%2Fg%2F11fx7tx31l?entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D",,https://cava.com/,https://www.instagram.com/cava/,,,Mediterranean,https://www.ubereats.com/store/cava-325-park-ave-s/L5TL-eVSVJeWCeTXbu4PAg,,https://www.doordash.com/store/cava-new-york-1721033/73526949/,https://cava.com/locations/park-ave-south-ny,https://assets.ctfassets.net/kugm9fp9ib18/6VE4URgnIyBfLHrb0Wbkgs/d88eb38aebea2b23b42c6f0715dfe353/NutritionandAllergenGuide_250905.pdf,September 2025
ChIJXYkNQ-dZwokRfRXmkttK2_Q,Cava,"40.74174312299262, -73.99328353871512",,Flatiron District,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,678 6th Ave,,New York,NY,10010,"https://www.google.com/maps/place/CAVA/@40.7313076,-74.0251652,14.17z/data=!4m10!1m2!2m1!1scava!3m6!1s0x89c259e7430d895d:0xf4db4adb92e6157d!8m2!3d40.7416419!4d-73.9933102!15sCgRjYXZhIgOIAQFaBiIEY2F2YZIBGG1lZGl0ZXJyYW5lYW5fcmVzdGF1cmFudKoBNhABKggiBGNhdmEoADIeEAEiGvF2USJTMfhuyuvNsyhbFQWfJkvQwA7yskezMggQAiIEY2F2YeABAA!16s%2Fg%2F11h3hlvyky?entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D",,https://cava.com/,https://www.instagram.com/cava/,,,Mediterranean,,,https://www.doordash.com/store/cava-new-york-1753606/73527947/,https://cava.com/locations/21st-and-6th-ny,https://assets.ctfassets.net/kugm9fp9ib18/6VE4URgnIyBfLHrb0Wbkgs/d88eb38aebea2b23b42c6f0715dfe353/NutritionandAllergenGuide_250905.pdf,September 2025
ChIJ5zDu4g5ZwokRviaZ1NgjLYA,Cava,"40.727732632539556, -74.00697973635435",,Hudson Square,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,10:45 AM–10 PM,350 Hudson St,,New York,NY,10014,"https://www.google.com/maps/place/CAVA/@40.7217931,-74.0294263,14.17z/data=!3m1!5s0x89c2598d4ae90f87:0x472151bd6ba76dc0!4m10!1m2!2m1!1scava!3m6!1s0x89c2590ee2ee30e7:0x802d23d8d49926be!8m2!3d40.7276548!4d-74.0069898!15sCgRjYXZhIgOIAQFaBiIEY2F2YZIBGG1lZGl0ZXJyYW5lYW5fcmVzdGF1cmFudKoBNhABKggiBGNhdmEoADIeEAEiGvF2USJTMfhuyuvNsyhbFQWfJkvQwA7yskezMggQAiIEY2F2YeABAA!16s%2Fg%2F11y64d4cj9?entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D",,https://cava.com/,https://www.instagram.com/cava/,,,Mediterranean,https://www.ubereats.com/store/cava-350-hudson/rPnDxzIlUmuD947jQLzMog,,https://www.doordash.com/store/cava-new-york-25051243/32281746/,https://cava.com/locations/350-hudson-ny,https://assets.ctfassets.net/kugm9fp9ib18/6VE4URgnIyBfLHrb0Wbkgs/d88eb38aebea2b23b42c6f0715dfe353/NutritionandAllergenGuide_250905.pdf,September 2025
